CUENTA_CREDITO|SITUACION_CREDITO|SALDO_PRINCIPAL|INTERES_DEVENGADO|INTERESES_COBRADOS|COMISIONES_COBRADAS|SALDO_PROMEDIO|RESERVAS_CALIF|RESERVAS_ADIC|PORC_RESERVAS_417|MONEDA|FECHA_INFO
|1|7093532.24|98517.68|71782.21|0.00|228823.62||||0|2026-01-31
|1|827020.38|1276921.32|1266928.11|0.00|27567.35||||0|2026-01-31
|1|153465.41|96100.66|93539.42|0.00|5115.51||||0|2026-01-31
|1|328570.40|923392.61|919737.97|0.00|10599.05||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|816583.66|1078473.36|1069882.49|0.00|27219.46||||0|2026-01-31
|1|785400.00|104458.19|0.00|0.00|26180.00||||0|2026-01-31
|1|677459.61|1012537.88|1003316.89|0.00|21853.54||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|9412673.78|7461066.33|7324464.94|0.00|313755.79||||0|2026-01-31
|0|333169.87|36141.18|36141.18|0.00|11105.66||||0|2026-01-31
|1|175650.00|154078.91|150710.48|0.00|5855.00||||0|2026-01-31
|1|2396262.53|27984.68|27984.68|0.00|79875.42||||0|2026-01-31
|1|121796.84|80766.47|78642.84|0.00|4059.89||||0|2026-01-31
|1|1928589.99|1648698.88|1622448.95|0.00|62212.58||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|95424.05|65672.75|64356.10|1604.67|3180.80||||0|2026-01-31
|1|416240.18|279993.27|279993.85|0.00|13427.10||||0|2026-01-31
|1|546171.81|953465.37|947136.40|0.00|17618.45||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|0.00|18235.57|18235.58|0.00|0.00||||0|2026-01-31
|1|7093532.24|98517.68|71782.21|0.00|228823.62||||0|2026-01-31
|1|349713.76|388827.59|384067.02|0.00|11281.09||||0|2026-01-31
|1|645520.78|543748.37|536016.61|0.00|20823.25||||0|2026-01-31
|1|1493452.25|1271579.43|1250858.17|0.00|49781.74||||0|2026-01-31
|2|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|1042497.10|713901.53|693690.00|0.00|34749.90||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|136725.51|87708.23|84105.87|0.00|4557.52||||0|2026-01-31
|3|2374432.48|2902.07|2110.65|0.00|79147.75||||0|2026-01-31
|3|1389408.03|29850.82|29850.82|0.00|46313.60||||0|2026-01-31
|0|133780.53|12713.02|11107.45|0.00|4459.35||||0|2026-01-31
|0|34076.56|2073.18|1664.05|0.00|1135.89||||0|2026-01-31
|1|1861631.85|1223936.98|1201038.73|0.00|62054.40||||0|2026-01-31
|1|26778404.28|1150719.92|1045302.22|0.00|863819.49||||0|2026-01-31
|1|995772.55|803510.88|803510.88|0.00|32121.70||||0|2026-01-31
|1|145248.93|198675.88|184839.40|0.00|4685.45||||0|2026-01-31
|0|19449.66|11490.41|11140.26|0.00|648.32||||0|2026-01-31
|1|3200000.00|591876.57|578423.93|0.00|103225.81||||0|2026-01-31
|2|491179.76|350811.68|334878.94|0.00|16372.66||||0|2026-01-31
|1|666938.98|1062528.75|995593.24|0.00|22231.30||||0|2026-01-31
|1|0.00|181467.05|181467.06|0.00|0.00||||0|2026-01-31
|3|20043853.20|226149.68|226149.68|0.00|668128.44||||0|2026-01-31
|1|106859.05|62834.73|61352.01|0.00|3561.97||||0|2026-01-31
|1|95216.37|62311.76|60715.71|0.00|3173.88||||0|2026-01-31
|1|3234607.92|2066599.09|2028268.77|0.00|107820.26||||0|2026-01-31
|1|1568793.35|1346075.48|1320004.23|0.00|52293.11||||0|2026-01-31
|1|15362639.84|3850565.82|3788329.34|0.00|495569.03||||0|2026-01-31
|0|65723.35|4344.81|3556.05|0.00|2190.78||||0|2026-01-31
|2|745369.63|1120364.41|1066397.69|0.00|24845.65||||0|2026-01-31
|1|1231147.69|999284.13|982663.68|0.00|41038.26||||0|2026-01-31
|1|4494498.49|4755752.64|4694577.31|0.00|144983.82||||0|2026-01-31
|1|1053325.67|1160210.76|1148495.44|0.00|33978.25||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|3|546258.22|274305.81|238571.36|0.00|18208.61||||0|2026-01-31
|1|1489565.22|1347678.48|1318632.02|0.00|49652.17||||0|2026-01-31
|1|21417542.09|1654185.45|1568252.32|0.00|690888.45||||0|2026-01-31
|1|2000000.00|54172.43|24322.22|0.00|66666.67||||0|2026-01-31
|1|12131304.29|2362000.06|2315497.11|0.00|391332.40||||0|2026-01-31
|1|5929428.74|4510022.86|4423304.98|804.48|197647.62||||0|2026-01-31
|3|10109894.52|3888707.99|3733408.79|0.00|336996.48||||0|2026-01-31
|1|4919969.32|4820191.32|4740856.72|0.00|163998.98||||0|2026-01-31
|1|8000000.00|62053.19|31318.22|0.00|258064.52||||0|2026-01-31
|1|870590.71|868974.40|858478.72|0.00|28083.57||||0|2026-01-31
|1|176847.74|166715.84|163764.51|0.00|5894.92||||0|2026-01-31
|3|2109715.95|997108.92|740482.70|0.00|68055.35||||0|2026-01-31
|1|19925673.63|3909010.39|3831555.58|0.00|642763.67||||0|2026-01-31
|1|1154700.71|681396.15|670349.56|0.00|37248.41||||0|2026-01-31
|1|770764.30|894463.16|882901.46|0.00|25692.14||||0|2026-01-31
|1|910269.59|34144.42|24245.13|0.00|30342.32||||0|2026-01-31
|1|1050146.25|1263960.93|1250484.37|0.00|33875.69||||0|2026-01-31
|1|8640000.00|106697.49|74823.69|0.00|278709.68||||0|2026-01-31
|1|288130.39|272584.35|269447.03|0.00|9294.53||||0|2026-01-31
|3|534124.45|1555765.93|790008.05|0.00|17804.15||||0|2026-01-31
|1|770039.38|900351.53|821528.31|0.00|24839.98||||0|2026-01-31
|1|3737298.30|4854859.27|4575020.35|0.00|124576.61||||0|2026-01-31
|1|302677.48|3657385.29|3653736.54|0.00|9763.79||||0|2026-01-31
|1|57508233.03|6738768.16|6521850.31|0.00|1855104.29||||0|2026-01-31
|1|0.00|0.00|0.00|0.00|0.00||||0|2026-01-31
|1|385784.73|827274.53|822476.24|0.00|12859.49||||0|2026-01-31
|1|3130205.21|2672052.73|2628621.01|804.48|104340.17||||0|2026-01-31
|1|127090.32|84240.80|82572.53|0.00|4236.34||||0|2026-01-31
